asof,ticker,qty,close,market_value
2026-03-31,IWM,16.462000,248.0000,4082.58
2026-03-31,SPY,6.186000,650.3400,4023.00
2026-03-31,XLE,63.928000,61.2600,3916.23
2026-03-31,XLU,87.710000,45.8900,4025.01
