date,nav,AI23_mv,AI23_pct,QC_mv,QC_pct,UNASSIGNED_mv,UNASSIGNED_pct
2026-03-26,100000.00,,,,,,
2026-03-27,100000.00,,,,,,
2026-03-30,100000.00,,,,,,
2026-03-31,99983.95,,,,,,
2026-04-06,99983.05,,,,,,
2026-04-07,99983.05,,,,,,
2026-04-08,99983.05,,,,,,
2026-04-09,99983.05,,,,,,
2026-04-10,99983.05,,,,,,
2026-04-13,99983.05,,,,,,
2026-04-14,99983.05,,,,,,
2026-04-15,99983.05,,,,,,
2026-04-16,99950.86,,,,,,
2026-04-17,101536.21,12209.53,12.02,11860.49,11.68,-8121.45,-8.00
